,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,property_valuation,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value,geo_address,latitude,longitude
4274,Cletis,Longley,Male,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,7,0.72,0.8999999999999999,1.125,1.125,271,1.06,"Frankston, Melbourne, City of Frankston, 3199, Victoria, Australia",-38.1543768975976,145.13190886516517
4275,Bartram,Di Lucia,Male,70,1961-01-03,,Argiculture,Mass Customer,N,Yes,5,3,1.08,1.35,1.35,1.1475,271,1.06,"Lismore City Council, 2480, New South Wales, Australia",-28.744889709197654,153.28644421409
4276,Theresa,Cowper,Female,99,1976-08-24,Accountant III,Manufacturing,Mass Customer,N,No,3,10,0.51,0.51,0.6375,0.541875,271,1.06,"Blackbutt, Shellharbour City Council, 2529, New South Wales, Australia",-34.573697779452054,150.83896394794522
4277,Philbert,Raraty,Male,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,N,No,6,9,0.7,0.7,0.875,0.74375,274,1.051875,"Bonnyrigg, Sydney, Fairfield City Council, 2177, New South Wales, Australia",-33.89012879032258,150.8931213935484
4278,Egon,Ortells,Male,35,1976-06-11,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,9,0.73,0.73,0.9125,0.9125,274,1.051875,"Busby, Sydney, Liverpool City Council, 2168, New South Wales, Australia",-33.91353901428571,150.87780079285716
4279,Dahlia,Shovlar,Female,90,1966-03-07,Environmental Specialist,,Affluent Customer,N,Yes,7,3,0.62,0.775,0.96875,0.96875,274,1.051875,"Hampton Park, Melbourne, City of Casey, 3976, Victoria, Australia",-38.03613503333333,145.26577442222222
4280,Timi,Duny,Female,70,1953-03-12,Office Assistant II,Telecommunications,High Net Worth,N,No,6,12,0.85,0.85,1.0625,1.0625,274,1.051875,"Seaforth, Sydney, Northern Beaches Council, 2092, New South Wales, Australia",-33.78485550503145,151.24106370251573
4281,Dominick,Asher,Male,50,1962-10-06,Research Associate,Health,Affluent Customer,N,Yes,5,9,0.83,1.0375,1.296875,1.296875,278,1.05,"Narre Warren North, Melbourne, City of Casey, 3804, Victoria, Australia",-37.98966903763441,145.31382622258064
4282,Raye,Roo,Female,64,1976-03-07,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,9,1.08,1.35,1.6875,1.434375,278,1.05,"Glenroy, Melbourne, City of Merri-bek, 3046, Victoria, Australia",-37.71054439735099,144.9265799536424
4283,Becka,Hacon,Female,81,1965-07-03,General Manager,Financial Services,Affluent Customer,N,No,17,9,0.65,0.65,0.8125,0.8125,278,1.05,"Kallista, Melbourne, Shire of Yarra Ranges, 3791, Victoria, Australia",-37.9013135,145.3954455
4284,Cirillo,Frossell,Male,7,1968-10-14,Graphic Designer,,Mass Customer,N,No,6,12,0.9,0.9,1.125,0.95625,278,1.05,"Gladesville, Sydney, Council of the City of Ryde, 2111, New South Wales, Australia",-33.834665338461534,151.13145686538462
4285,Verla,Dumingos,Female,26,1971-09-18,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,8,0.78,0.975,0.975,0.8287500000000001,282,1.04921875,"St Albans, Melbourne, City of Brimbank, 3021, Victoria, Australia",-37.74840963016055,144.80788033600916
4286,Sherrie,Godleman,Female,37,1978-04-02,Associate Professor,Manufacturing,Mass Customer,N,No,19,2,1.02,1.02,1.02,0.867,282,1.04921875,"Lake Wendouree, Ballarat, City of Ballarat, 3350, Victoria, Australia",-37.551475919091175,143.83133114550017
4287,Dexter,Shutle,Male,81,1959-01-05,Quality Control Specialist,,Mass Customer,N,No,17,7,0.91,0.91,1.1375,0.966875,284,1.046875,"New Farm, Greater Brisbane, 4005, Queensland, Australia",-27.464010128375453,153.04549759588446
4288,Konstanze,Hovie,Female,88,1967-01-09,Pharmacist,Health,Mass Customer,N,No,11,7,1.07,1.07,1.3375,1.136875,285,1.04125,"Warwick, Southern Downs Regional, 4370, Queensland, Australia",-28.224354269585252,152.024444040553
4289,Bink,Bentje,Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,3,0.82,1.025,1.025,1.025,285,1.04125,"Leeton Shire Council, 2680, New South Wales, Australia",-34.40392353174603,146.23463912619047
4290,Taber,Szymon,Male,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,8,1.03,1.03,1.03,1.03,287,1.04,"Burrum Heads, Fraser Coast Regional, 4659, Queensland, Australia",-25.184437,152.613058
4291,Debbi,Dannatt,Female,2,1958-12-28,Technical Writer,,Affluent Customer,N,No,6,10,0.49,0.49,0.6125,0.6125,287,1.04,"Mermaid Waters, Gold Coast City, 4218, Queensland, Australia",-28.040198928653847,153.4271514603846
4292,Giana,Staresmeare,Female,96,1976-04-20,Account Representative IV,Retail,Affluent Customer,N,Yes,9,7,0.92,1.15,1.4375,1.4375,289,1.0375,"Whalan, Sydney, Blacktown City Council, 2770, New South Wales, Australia",-33.75798494819277,150.8146173433735
4293,Morton,Petkens,Male,50,1990-11-13,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,1,1.04,1.3,1.3,1.3,289,1.0375,"West Footscray, Melbourne, City of Maribyrnong, 3012, Victoria, Australia",-37.7979108743857,144.87045824385703
4294,Vittoria,Whitney,Female,95,1981-06-03,Research Assistant I,,High Net Worth,N,No,12,11,1.07,1.07,1.3375,1.3375,291,1.0359375,"Botany, Sydney, Bayside Council, 2019, New South Wales, Australia",-33.94965995,151.20431378333333
4295,Paquito,Atwood,Male,15,1972-07-30,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,8,0.86,0.86,0.86,0.86,291,1.0359375,"Frankston, Melbourne, City of Frankston, 3199, Victoria, Australia",-38.1543768975976,145.13190886516517
4296,Dimitri,Tribbeck,Male,89,1958-12-07,Chief Design Engineer,,Affluent Customer,N,No,20,6,0.73,0.73,0.9125,0.9125,291,1.0359375,"Bentleigh East, Melbourne, City of Glen Eira, 3165, Victoria, Australia",-37.92411562252964,145.07663076197628
4297,Shelli,Bartholomaus,Female,88,1963-05-11,Associate Professor,Health,Mass Customer,N,Yes,6,7,0.44,0.55,0.6875,0.584375,291,1.0359375,"Mill Park, Melbourne, City of Whittlesea, 3082, Victoria, Australia",-37.669090655497385,145.06514232670156
4298,Kermit,Lebond,Male,36,1980-02-01,Financial Advisor,Financial Services,Mass Customer,N,No,4,8,0.41,0.41,0.41,0.3485,295,1.03125,"Ormeau, Gold Coast City, 4208, Queensland, Australia",-27.777456489626555,153.2552827533195
4299,Biddie,Gorce,Female,68,1988-01-30,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,7,0.67,0.8375,0.8375,0.711875,295,1.03125,"Kelso, Bathurst Regional Council, 2795, New South Wales, Australia",-33.41202248886653,149.60977090744467
4300,Rupert,Marrow,Male,73,1970-08-08,,Property,High Net Worth,N,No,19,8,0.82,0.82,0.82,0.82,297,1.030625,"North St Marys, Sydney, Penrith City Council, 2760, New South Wales, Australia",-33.75909948288288,150.78016674414414
4301,Geoff,Sitford,Male,97,1965-02-27,Account Executive,Financial Services,Mass Customer,N,Yes,4,8,1.0,1.25,1.5625,1.328125,297,1.030625,"Blacktown, Sydney, Blacktown City Council, 2148, New South Wales, Australia",-33.77459230737705,150.9030975
4302,Ange,Chitham,Female,91,1991-02-14,,Argiculture,Mass Customer,N,No,10,8,0.72,0.72,0.8999999999999999,0.7649999999999999,297,1.030625,"Bradbury, Sydney, Campbelltown City Council, 2560, New South Wales, Australia",-34.0904010264,150.80978945680002
4303,Tiphanie,Blackader,Female,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,11,0.8,0.8,1.0,0.85,297,1.030625,"Ultimo, Sydney, Council of the City of Sydney, 2007, New South Wales, Australia",-33.88002094444444,151.19753476419754
4304,Zollie,Crinidge,Male,39,1988-01-10,Systems Administrator I,Retail,Mass Customer,N,Yes,10,5,0.62,0.775,0.775,0.65875,297,1.030625,"Clontarf, Greater Brisbane, City of Moreton Bay, 4019, Queensland, Australia",-27.257793184496123,153.08234430697675
4305,Daisy,Pollen,Female,97,1993-08-09,Cost Accountant,Financial Services,Mass Customer,N,No,7,9,0.66,0.66,0.8250000000000001,0.70125,302,1.03,"Oakleigh South, Melbourne, City of Monash, 3167, Victoria, Australia",-37.920701188975606,145.08715511131706
4306,Emelen,Bidnall,Male,79,1981-08-05,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,12,0.62,0.775,0.96875,0.96875,302,1.03,"Bondi Beach, Sydney, Waverley Council, 2026, New South Wales, Australia",-33.890763394270834,151.2676076510417
4307,Linette,Boman,Female,56,1949-05-20,Account Executive,,Affluent Customer,N,No,11,11,0.6,0.6,0.75,0.75,304,1.025,"Wahroonga, Sydney, Ku-ring-gai Council, 2076, New South Wales, Australia",-33.7143721,151.1136189826087
4308,Manya,Abramovici,Female,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8,1.05,1.3125,1.3125,1.3125,304,1.025,"Molendinar, Gold Coast City, 4214, Queensland, Australia",-27.967312742991453,153.36740983452992
4309,Brynna,Tivers,Female,81,1974-08-09,Recruiting Manager,Financial Services,Mass Customer,N,No,6,7,0.65,0.65,0.8125,0.6906249999999999,304,1.025,"Tamborine Mountain, Scenic Rim Regional, 4272, Queensland, Australia",-27.937447193333334,153.19195596666668
4310,Art,Carolan,Male,1,1954-11-09,Marketing Manager,,Affluent Customer,N,Yes,11,9,0.47,0.5874999999999999,0.7343749999999999,0.7343749999999999,304,1.025,"Cobbitty, Camden Council, 2570, New South Wales, Australia",-34.01362313045977,150.7177027270115
4311,Alfi,Sabbins,Female,63,1959-06-12,,Financial Services,High Net Worth,N,Yes,18,3,0.53,0.6625000000000001,0.6625000000000001,0.6625000000000001,304,1.025,"Duri, Tamworth Regional Council, 2344, New South Wales, Australia",-31.196607875,150.789127875
4312,Loleta,Aberdalgy,Female,45,1981-02-15,Occupational Therapist,Health,Mass Customer,N,No,11,6,1.07,1.07,1.07,0.9095,304,1.025,"Wallsend, Newcastle-Maitland, Newcastle City Council, 2287, New South Wales, Australia",-32.89283236666667,151.65966450666667
4313,Aldric,Birney,Male,21,1971-08-19,,Manufacturing,Mass Customer,N,Yes,14,6,0.56,0.7000000000000001,0.7000000000000001,0.5950000000000001,310,1.02265625,"Corunna, Eurobodalla Shire Council, 2546, New South Wales, Australia",-36.26445589107143,150.0917173
4314,Natividad,Balducci,Female,39,1991-02-07,,Property,High Net Worth,N,Yes,10,11,0.57,0.7124999999999999,0.8906249999999999,0.8906249999999999,310,1.02265625,"Middle Park, Melbourne, City of Port Phillip, 3206, Victoria, Australia",-37.847612875,144.96085455
4315,Claudine,Dymick,Female,28,1965-12-13,Design Engineer,Health,Mass Customer,N,No,5,5,0.49,0.49,0.49,0.4165,312,1.02,"Cranbourne West, Melbourne, City of Casey, 3977, Victoria, Australia",-38.09794173882979,145.26580881329787
4316,Seamus,Cains,Male,61,1989-12-15,Teacher,Manufacturing,High Net Worth,N,No,7,8,1.0,1.0,1.0,1.0,312,1.02,"New Lambton, Newcastle-Maitland, Newcastle City Council, 2305, New South Wales, Australia",-32.92905910769231,151.70947781538462
4317,Guss,Karim,Male,95,1968-11-24,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,11,0.86,0.86,1.075,0.91375,312,1.02,"Gymea, Sutherland Shire, Sydney, Sutherland Shire Council, 2227, New South Wales, Australia",-34.039618238461536,151.0863899923077
4318,Julietta,Setchfield,Female,73,1992-01-31,Operator,,High Net Worth,N,Yes,3,8,0.87,1.0875,1.0875,1.0875,312,1.02,"Morningside, Greater Brisbane, 4170, Queensland, Australia",-27.471774994495128,153.07475502107607
4319,Roch,Symson,Female,96,1978-05-13,Office Assistant I,Manufacturing,High Net Worth,N,No,18,9,1.04,1.04,1.3,1.3,312,1.02,"Reservoir, Melbourne, City of Darebin, 3073, Victoria, Australia",-37.71534802820513,145.01219166813186
4320,Audry,Fann,Female,3,1957-10-17,Pharmacist,Health,Mass Customer,N,Yes,15,6,0.66,0.8250000000000001,0.8250000000000001,0.70125,312,1.02,"Tarneit, Melbourne, City of Wyndham, 3029, Victoria, Australia",-37.84657426790124,144.70038635370372
4321,Cecelia,Cisar,Female,20,1985-03-26,,Property,Mass Customer,N,Yes,15,7,0.57,0.7124999999999999,0.7124999999999999,0.6056249999999999,312,1.02,"Helensvale, Gold Coast City, 4212, Queensland, Australia",-27.9203321955414,153.33288199745223
4322,Clari,Voas,Female,74,1955-07-28,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,8,0.9,1.125,1.125,1.125,312,1.02,"Sydney Olympic Park, Sydney, City of Parramatta Council, 2127, New South Wales, Australia",-33.83500813975903,151.07104011084337
4323,Zach,Hedman,Male,87,1981-09-11,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,9,0.97,1.2125,1.515625,1.515625,320,1.015625,"Bow Bowing, Sydney, Campbelltown City Council, 2566, New South Wales, Australia",-34.02139715,150.83711905666667
4324,Paxon,Roomes,Male,78,1976-11-06,Information Systems Manager,,High Net Worth,N,Yes,7,7,1.08,1.35,1.35,1.35,320,1.015625,"St Albans, Melbourne, City of Brimbank, 3021, Victoria, Australia",-37.74840963016055,144.80788033600916
4325,Parnell,Lamprey,Male,23,1977-04-08,Engineer III,Financial Services,High Net Worth,N,No,12,6,0.95,0.95,0.95,0.95,322,1.0125,"Fairfield Heights, Sydney, Fairfield City Council, 2165, New South Wales, Australia",-33.867880910714284,150.94594153035715
4326,Honey,Gosdin,Female,0,1981-11-29,Software Engineer I,Property,Mass Customer,N,No,17,9,0.99,0.99,1.2375,1.051875,322,1.0125,"Yass, Yass Valley Council, 2582, New South Wales, Australia",-34.855738339053254,148.90687267573963
4327,Sonny,McCart,Male,35,1992-08-27,Account Representative I,Manufacturing,High Net Worth,N,No,9,9,0.4,0.4,0.5,0.5,324,1.01,"Sunshine North, Melbourne, City of Brimbank, 3020, Victoria, Australia",-37.77344925478153,144.83174973136852
4328,Rozamond,Turtle,U,69,,Legal Assistant,IT,Mass Customer,N,Yes,3,3,1.08,1.35,1.35,1.1475,324,1.01,"Wurruk, Shire of Wellington, 3850, Victoria, Australia",-38.112206447058824,147.03546838235295
4329,Deirdre,Burgoine,Female,14,1955-01-08,Programmer III,Health,High Net Worth,N,No,7,1,0.81,0.81,0.81,0.81,326,1.009375,"Melbourne, City of Melbourne, 3000, Victoria, Australia",-37.81062167466778,144.96132478214287
4330,Haleigh,,Female,17,1952-05-19,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,4,0.83,1.0375,1.0375,0.8818749999999999,326,1.009375,"Kallangur, Greater Brisbane, City of Moreton Bay, 4503, Queensland, Australia",-27.251773314004375,153.0004684323851
4331,Aldridge,Poskitt,Male,84,1982-02-10,VP Sales,,Mass Customer,N,No,12,5,0.48,0.48,0.6,0.51,326,1.009375,"Alexandra Hills, Greater Brisbane, Redland City, 4161, Queensland, Australia",-27.528897162280703,153.22892679210526
4332,Zechariah,McReidy,Male,32,1978-07-22,Technical Writer,Manufacturing,High Net Worth,N,No,21,6,0.55,0.55,0.55,0.55,329,1.0,"Mount Warren Park, Greater Brisbane, 4207, Queensland, Australia",-27.72339298857143,153.19512631652015
4333,Carry,Costi,Female,32,1972-11-26,Senior Developer,Property,Mass Customer,N,No,11,4,0.5,0.5,0.5,0.425,329,1.0,"Orange, Orange City Council, 2800, New South Wales, Australia",-33.281913390831555,149.09423819488273
4334,Alon,,Male,17,1999-06-23,Accountant IV,,Affluent Customer,N,No,9,3,0.67,0.67,0.67,0.67,329,1.0,"Mermaid Waters, Gold Coast City, 4218, Queensland, Australia",-28.040198928653847,153.4271514603846
4335,Ahmed,Pickthorne,Male,46,1959-12-25,Marketing Manager,,High Net Worth,N,Yes,15,9,1.01,1.2625,1.578125,1.578125,329,1.0,"Lalor Park, Sydney, Blacktown City Council, 2147, New South Wales, Australia",-33.764241076595745,150.93524201063832
4336,Nil,Shirer,Male,64,1997-09-27,Librarian,Entertainment,Mass Customer,N,Yes,7,8,0.41,0.5125,0.5125,0.4356249999999999,329,1.0,"Yarraville, Melbourne, City of Maribyrnong, 3013, Victoria, Australia",-37.81578395416667,144.87742741521467
4337,Erhard,O'Moylane,Male,33,1978-05-27,Media Manager I,Retail,Affluent Customer,N,Yes,9,2,0.56,0.7000000000000001,0.7000000000000001,0.7000000000000001,334,0.9987499999999998,"Shepparton, City of Greater Shepparton, 3630, Victoria, Australia",-36.39465728652482,145.40824810496454
4338,Vitia,Axtens,Female,62,1945-08-08,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,10,0.61,0.7625,0.953125,0.81015625,334,0.9987499999999998,"Potts Point, Sydney, Council of the City of Sydney, 2011, New South Wales, Australia",-33.87250017339449,151.22473030458715
4339,Haskell,Moxted,Male,81,1943-08-27,Civil Engineer,Manufacturing,Mass Customer,N,No,7,9,0.61,0.61,0.7625,0.648125,334,0.9987499999999998,"Wentworthville, Sydney, Cumberland City Council, 2145, New South Wales, Australia",-33.81138947830189,150.96508012264152
4340,Ebony,Conrad,Female,8,1999-10-24,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,7,0.42,0.525,0.525,0.44625,334,0.9987499999999998,"Tarneit, Melbourne, City of Wyndham, 3029, Victoria, Australia",-37.84657426790124,144.70038635370372
4341,Lincoln,Boler,Male,53,1976-01-24,Chief Design Engineer,,Affluent Customer,N,No,14,8,0.79,0.79,0.79,0.79,338,0.99609375,"Port Melbourne, Melbourne, City of Port Phillip, 3207, Victoria, Australia",-37.83158716032787,144.9259798685246
4342,Vladimir,Westmerland,Male,18,1956-06-19,,Manufacturing,Mass Customer,N,Yes,18,4,1.02,1.275,1.275,1.08375,338,0.99609375,"Albury, Albury City Council, 2640, New South Wales, Australia",-36.08442952193627,146.9198178882353
4343,Kylynn,Drowsfield,Female,80,1975-03-28,Editor,,High Net Worth,N,Yes,7,9,0.63,0.7875,0.984375,0.984375,338,0.99609375,"Greenvale, Melbourne, City of Hume, 3059, Victoria, Australia",-37.643750016666665,144.88391158333332
4344,Nicole,Ruckhard,Female,93,1969-10-09,Human Resources Manager,Health,Affluent Customer,N,Yes,17,3,1.02,1.275,1.59375,1.59375,341,0.99,"Nambour, Sunshine Coast Regional, 4560, Queensland, Australia",-26.625810580567496,152.9529728632846
4345,Celestina,Lethardy,Female,38,1968-12-11,Software Consultant,IT,Mass Customer,N,Yes,11,10,0.92,1.15,1.4375,1.221875,341,0.99,"Murrumbeena, Melbourne, City of Glen Eira, 3163, Victoria, Australia",-37.889989175784756,145.0660464443946
4346,Tannie,Petrakov,Male,84,1951-11-27,Data Coordiator,IT,Affluent Customer,N,No,10,6,0.46,0.46,0.5750000000000001,0.5750000000000001,341,0.99,"Forest Lake, Greater Brisbane, 4078, Queensland, Australia",-27.619807466006215,152.96109038379564
4347,Bessy,Saladin,Female,22,1939-12-22,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,10,0.51,0.6375,0.796875,0.67734375,341,0.99,"Corinda, Greater Brisbane, 4075, Queensland, Australia",-27.542858852262466,152.97893456755477
4348,Diego,Van den Broek,Male,17,1964-09-28,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,13,7,1.0,1.25,1.25,1.25,345,0.988125,"Ferny Grove, Brisbane City, 4055, Queensland, Australia",-27.407158939145297,152.9248373578205
4349,Lucilia,Minshall,Female,71,1952-04-15,,IT,Mass Customer,N,Yes,7,8,0.86,1.075,1.075,0.91375,345,0.988125,"Penrith, Sydney, Penrith City Council, 2750, New South Wales, Australia",-33.754322410849056,150.67893582712264
4350,Cissiee,Pollington,Female,43,1941-07-21,Associate Professor,Property,Mass Customer,N,Yes,7,9,1.1,1.375,1.71875,1.4609375,345,0.988125,"Umina Beach, Gosford, Central Coast Council, 2256, New South Wales, Australia",-33.524669882467535,151.3101954435065
4351,Eddy,Sturch,Male,22,1961-02-11,Software Consultant,Financial Services,High Net Worth,N,Yes,17,6,0.71,0.8875,0.8875,0.8875,345,0.988125,"Thorneside, Greater Brisbane, Redland City, 4158, Queensland, Australia",-27.48619615263158,153.20181136368421
4352,Caron,Kezar,Female,11,1953-08-08,Social Worker,Health,Mass Customer,N,No,5,1,0.49,0.49,0.49,0.4165,349,0.9875,"Cobar Shire Council, 2835, New South Wales, Australia",-31.57355971896552,145.52120698103448
4353,Sandor,Stirland,Male,67,1981-05-26,Web Developer IV,Manufacturing,High Net Worth,N,No,12,10,1.07,1.07,1.3375,1.3375,349,0.9875,"Deans Marsh, Surf Coast Shire, 3235, Victoria, Australia",-38.4286198,143.89270343333334
4354,Gallagher,Bromell,Male,18,1956-12-02,Assistant Manager,,Mass Customer,N,No,17,8,0.77,0.77,0.77,0.6545,349,0.9875,"Buderim, Sunshine Coast Regional, 4556, Queensland, Australia",-26.703358515987865,153.06821565524262
4355,Murial,Bulloch,Female,59,1964-10-01,,Financial Services,Mass Customer,N,No,13,6,0.45,0.45,0.45,0.3825,349,0.9875,"Potts Point, Sydney, Council of the City of Sydney, 2011, New South Wales, Australia",-33.87250017339449,151.22473030458715
4356,Delinda,Ech,Female,74,1944-10-21,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,10,1.1,1.375,1.71875,1.4609375,349,0.9875,"Kew, Melbourne, City of Boroondara, 3101, Victoria, Australia",-37.80146334467213,145.0350847114754
4357,Hussein,Tapenden,Male,19,1953-10-19,Pharmacist,Health,Affluent Customer,N,Yes,12,8,0.6,0.75,0.75,0.75,349,0.9875,"Werrington, Sydney, Penrith City Council, 2747, New South Wales, Australia",-33.754969462825784,150.75204990082304
4358,Giulietta,Garbott,Female,59,2002-02-27,Technical Writer,,Affluent Customer,N,Yes,14,5,0.8,1.0,1.0,1.0,355,0.984375,"Pakenham, Melbourne, Shire of Cardinia, 3810, Victoria, Australia",-38.063884217213115,145.46991815245903
4359,Kaylyn,Jakaway,Female,45,1980-07-30,Registered Nurse,Health,Affluent Customer,N,No,10,8,0.43,0.43,0.43,0.43,356,0.9828125,"Charlestown, Newcastle-Maitland, Lake Macquarie City Council, 2290, New South Wales, Australia",-32.971346611904764,151.69695448333331
4360,Brynn,Goodyear,Female,30,1944-11-10,Human Resources Manager,Health,Mass Customer,N,Yes,11,7,1.0,1.25,1.25,1.0625,356,0.9828125,"Lalor, Melbourne, City of Whittlesea, 3075, Victoria, Australia",-37.66976286197183,145.01462780985915
4361,Otis,,Male,59,1971-01-11,Electrical Engineer,Manufacturing,Affluent Customer,N,No,12,11,0.68,0.68,0.8500000000000001,0.8500000000000001,358,0.98,"St Ives, Sydney, Ku-ring-gai Council, 2075, New South Wales, Australia",-33.72460685223881,151.16111380547264
4362,Tamas,Swatman,U,65,,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,8,1.01,1.01,1.01,1.01,358,0.98,"Little Mountain, Sunshine Coast Regional, 4551, Queensland, Australia",-26.779705366836737,153.10097442210883
4363,Pace,Clemonts,Male,99,1990-07-28,Media Manager IV,Retail,High Net Worth,N,No,10,7,0.79,0.79,0.9875,0.9875,358,0.98,"Hawthorn, Melbourne, City of Boroondara, 3122, Victoria, Australia",-37.82555367970112,145.03332694557906
4364,Tracy,Andrejevic,U,71,,Programmer II,IT,Mass Customer,N,Yes,11,7,0.95,1.1875,1.1875,1.009375,361,0.9775,"Werribee, Melbourne, City of Wyndham, 3030, Victoria, Australia",-37.893824220172085,144.69761997566923
4365,Muffin,Grigolon,Male,7,1979-10-31,Senior Editor,Telecommunications,Mass Customer,N,No,12,10,0.56,0.56,0.7000000000000001,0.5950000000000001,361,0.9775,"Sutherland, Sydney, Sutherland Shire Council, 2232, New South Wales, Australia",-34.03018081297297,151.06119609567568
4366,Allsun,Biner,Female,67,1997-12-26,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,10,2,0.49,0.6125,0.6125,0.520625,361,0.9775,"Lavington, Albury City Council, 2641, New South Wales, Australia",-36.041505834782605,146.94379229565217
4367,Kenneth,Elleyne,Male,13,1957-09-03,Technical Writer,Financial Services,Mass Customer,N,No,13,11,0.95,0.95,1.1875,1.009375,361,0.9775,"Malvern East, Melbourne, City of Stonnington, 3145, Victoria, Australia",-37.88018509753086,145.06123297777776
4368,Clotilda,Southers,Female,62,1999-11-08,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,15,4,0.98,1.225,1.225,1.04125,361,0.9775,"East Maitland, Newcastle-Maitland, Maitland City Council, 2323, New South Wales, Australia",-32.78429626352941,151.56835419411763
4369,Augustus,Bourley,Male,60,1981-08-17,,Health,Affluent Customer,N,No,18,10,0.97,0.97,1.2125,1.2125,366,0.975,"Carina Heights, Greater Brisbane, 4152, Queensland, Australia",-27.49959985156002,153.09717513186675
4370,Daisi,Tinwell,Female,84,1971-12-24,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,11,8,1.07,1.07,1.3375,1.136875,366,0.975,"Springwood, Sydney, Blue Mountains City Council, 2777, New South Wales, Australia",-33.71237817130307,150.57737874831625
4371,Gerik,Woodroof,Male,18,1959-06-13,Paralegal,Financial Services,High Net Worth,N,Yes,9,7,0.44,0.55,0.55,0.55,366,0.975,"Dandenong South, Melbourne, City of Greater Dandenong, 3175, Victoria, Australia",-38.01204633839663,145.19833800843884
4372,Claresta,MacConnulty,Female,6,1957-10-01,Recruiting Manager,,Mass Customer,N,Yes,20,9,1.08,1.35,1.6875,1.434375,366,0.975,"Bondi Beach, Sydney, Waverley Council, 2026, New South Wales, Australia",-33.890763394270834,151.2676076510417
4373,Arty,Fontelles,Male,50,1994-10-21,Help Desk Technician,IT,High Net Worth,N,No,4,4,0.72,0.72,0.72,0.72,370,0.97,"Carrum, Melbourne, City of Kingston, 3197, Victoria, Australia",-38.07261962051282,145.12526485641027
4374,Giulia,Hazart,Female,57,1978-08-02,Help Desk Technician,,Mass Customer,N,No,11,11,0.57,0.57,0.7124999999999999,0.6056249999999999,371,0.96875,"Mermaid Waters, Gold Coast City, 4218, Queensland, Australia",-28.040198928653847,153.4271514603846
4375,Whit,Emloch,Male,30,1963-08-20,Food Chemist,Health,Mass Customer,N,Yes,6,9,0.62,0.775,0.96875,0.8234374999999999,372,0.966875,"Hurstville, St George, Sydney, Georges River Council, 2220, New South Wales, Australia",-33.965560380645165,151.10584756451613
4376,Rowan,Summerly,Male,4,1974-07-05,Librarian,Entertainment,Mass Customer,N,No,9,10,0.55,0.55,0.6875,0.584375,372,0.966875,"Narwee, Sydney, Canterbury-Bankstown Council, 2209, New South Wales, Australia",-33.947460385333336,151.06751749733334
4377,Ian,Rabat,Male,54,1975-08-04,Web Designer I,Financial Services,Affluent Customer,N,No,11,11,0.57,0.57,0.7124999999999999,0.7124999999999999,372,0.966875,"Bentleigh, Melbourne, City of Glen Eira, 3204, Victoria, Australia",-37.91795392994186,145.03955651162792
4378,Agneta,McAmish,U,66,,Structural Analysis Engineer,IT,Mass Customer,N,No,15,6,0.67,0.67,0.67,0.5695,375,0.96,"Mount Warren Park, Greater Brisbane, 4207, Queensland, Australia",-27.72339298857143,153.19512631652015
4379,Reginald,Jermy,Male,7,1960-09-12,Director of Sales,,High Net Worth,N,Yes,20,8,0.53,0.6625000000000001,0.6625000000000001,0.6625000000000001,375,0.96,"Shailer Park, Greater Brisbane, 4128, Queensland, Australia",-27.65381387746479,153.176264743662
4380,Link,Gorini,Male,60,1974-11-09,,IT,High Net Worth,N,No,10,2,0.72,0.72,0.72,0.72,375,0.96,"Black Snake, Gympie Regional, 4600, Queensland, Australia",-26.145409280000003,152.2623106342857
