,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,property_valuation,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value,geo_address,latitude,longitude,years_since_1st_DOB
4260,Delly,Sunman,Female,49,Account Coordinator,Retail,Mass Customer,N,No,15,12,0.43,0.43,0.5375,0.456875,252,1.073125,"Middle Park, Melbourne, City of Port Phillip, 3206, Victoria, Australia",-37.847612875,144.96085455,23.63586584531143
4261,Malvin,Ryhorovich,Male,37,Quality Control Specialist,unknown,Mass Customer,N,No,5,3,0.55,0.55,0.55,0.4675,252,1.073125,"Deeragun, Townsville City, 4818, Queensland, Australia",-19.253726404081632,146.6833355877551,26.529774127310063
4262,Tanya,Hamberston,Female,45,Product Engineer,unknown,Mass Customer,N,Yes,9,6,0.96,1.2,1.2,1.02,259,1.0625,"Runcorn, Greater Brisbane, 4113, Queensland, Australia",-27.58916037014265,153.08333514435716,65.09514031485284
4263,Kaela,Romaines,Female,41,Geological Engineer,Manufacturing,High Net Worth,N,No,19,10,0.68,0.68,0.8500000000000001,0.8500000000000001,259,1.0625,"Beaumont Hills, Hills District, Sydney, The Hills Shire Council, 2155, New South Wales, Australia",-33.688336075428566,150.93352293571428,36.26557152635181
4264,Evonne,Bembridge,Female,9,Recruiting Manager,Retail,Mass Customer,N,Yes,14,9,0.47,0.5874999999999999,0.7343749999999999,0.6242187499999999,259,1.0625,"Balwyn, Melbourne, City of Boroondara, 3103, Victoria, Australia",-37.809507689830504,145.08143109830507,33.87268993839836
4265,Shannen,Lewin,Female,21,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,6,0.86,0.86,0.86,0.86,259,1.0625,"Maudsland, Gold Coast City, 4210, Queensland, Australia",-27.935253853571428,153.29720310357143,55.79192334017796
4266,Bogey,Attew,Male,88,Software Engineer II,IT,Mass Customer,N,Yes,10,9,0.64,0.8,1.0,0.85,259,1.0625,"Redland Bay, Greater Brisbane, Redland City, 4165, Queensland, Australia",-27.606294488783945,153.2915393033058,57.242984257357975
4267,Zondra,Ringham,Female,36,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,5,0.46,0.5750000000000001,0.5750000000000001,0.48875,259,1.0625,"Caboolture, Greater Brisbane, City of Moreton Bay, 4510, Queensland, Australia",-27.093912305612726,152.97114970739008,12.394250513347023
4268,Barnebas,Apfel,Male,57,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,6,0.5,0.625,0.625,0.625,259,1.0625,"Spring Hill, Greater Brisbane, 4000, Queensland, Australia",-27.461657079441338,153.02183757061454,60.49555099247091
4269,Alleen,Eaken,Female,56,unknown,unknown,Mass Customer,N,No,10,12,0.64,0.64,0.8,0.68,259,1.0625,"Holsworthy, Sydney, Liverpool City Council, 2089, New South Wales, Australia",-34.145622083725485,150.90133416686274,3.025325119780972
4270,Gerri,Schimann,Female,81,Desktop Support Technician,Property,Mass Customer,N,Yes,18,8,0.6,0.75,0.9375,0.796875,259,1.0625,"Bow Bowing, Sydney, Campbelltown City Council, 2566, New South Wales, Australia",-34.02139715,150.83711905666667,34.23956194387406
4271,Antonietta,Egle,Female,82,Actuary,Financial Services,Mass Customer,N,No,7,7,1.02,1.02,1.275,1.08375,259,1.0625,"Narre Warren, Melbourne, City of Casey, 3805, Victoria, Australia",-38.00904905597826,145.3055908724295,38.09445585215606
4272,Raff,Waycott,Male,70,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,7,0.54,0.675,0.675,0.675,259,1.0625,"Cranbourne West, Melbourne, City of Casey, 3977, Victoria, Australia",-38.09794173882979,145.26580881329787,16.317590691307323
4273,Lark,Gonet,Female,89,Database Administrator II,Health,High Net Worth,N,No,8,8,0.58,0.58,0.725,0.725,259,1.0625,"Quakers Hill, Sydney, Blacktown City Council, 2763, New South Wales, Australia",-33.728338093333335,150.89744122888888,36.40520191649555
4274,Cletis,Longley,Male,84,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,7,0.72,0.8999999999999999,1.125,1.125,271,1.06,"Frankston, Melbourne, City of Frankston, 3199, Victoria, Australia",-38.1543768975976,145.13190886516517,60.85968514715948
4275,Bartram,Di Lucia,Male,70,unknown,Argiculture,Mass Customer,N,Yes,5,3,1.08,1.35,1.35,1.1475,271,1.06,"Lismore City Council, 2480, New South Wales, Australia",-28.744889709197654,153.28644421409,25.36892539356605
4276,Theresa,Cowper,Female,99,Accountant III,Manufacturing,Mass Customer,N,No,3,10,0.51,0.51,0.6375,0.541875,271,1.06,"Blackbutt, Shellharbour City Council, 2529, New South Wales, Australia",-34.573697779452054,150.83896394794522,41.007529089664615
4277,Philbert,Raraty,Male,48,Executive Secretary,Manufacturing,Mass Customer,N,No,6,9,0.7,0.7,0.875,0.74375,274,1.051875,"Bonnyrigg, Sydney, Fairfield City Council, 2177, New South Wales, Australia",-33.89012879032258,150.8931213935484,20.851471594798085
4278,Egon,Ortells,Male,35,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,9,0.73,0.73,0.9125,0.9125,274,1.051875,"Busby, Sydney, Liverpool City Council, 2168, New South Wales, Australia",-33.91353901428571,150.87780079285716,40.80492813141684
4279,Dahlia,Shovlar,Female,90,Environmental Specialist,unknown,Affluent Customer,N,Yes,7,3,0.62,0.775,0.96875,0.96875,274,1.051875,"Hampton Park, Melbourne, City of Casey, 3976, Victoria, Australia",-38.03613503333333,145.26577442222222,30.54072553045859
4280,Timi,Duny,Female,70,Office Assistant II,Telecommunications,High Net Worth,N,No,6,12,0.85,0.85,1.0625,1.0625,274,1.051875,"Seaforth, Sydney, Northern Beaches Council, 2092, New South Wales, Australia",-33.78485550503145,151.24106370251573,17.555099247091032
4281,Dominick,Asher,Male,50,Research Associate,Health,Affluent Customer,N,Yes,5,9,0.83,1.0375,1.296875,1.296875,278,1.05,"Narre Warren North, Melbourne, City of Casey, 3804, Victoria, Australia",-37.98966903763441,145.31382622258064,27.123887748117728
4282,Raye,Roo,Female,64,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,9,1.08,1.35,1.6875,1.434375,278,1.05,"Glenroy, Melbourne, City of Merri-bek, 3046, Victoria, Australia",-37.71054439735099,144.9265799536424,40.54209445585216
4283,Becka,Hacon,Female,81,General Manager,Financial Services,Affluent Customer,N,No,17,9,0.65,0.65,0.8125,0.8125,278,1.05,"Kallista, Melbourne, Shire of Yarra Ranges, 3791, Victoria, Australia",-37.9013135,145.3954455,29.864476386036962
4284,Cirillo,Frossell,Male,7,Graphic Designer,unknown,Mass Customer,N,No,6,12,0.9,0.9,1.125,0.95625,278,1.05,"Gladesville, Sydney, Council of the City of Ryde, 2111, New South Wales, Australia",-33.834665338461534,151.13145686538462,33.14715947980835
4285,Verla,Dumingos,Female,26,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,8,0.78,0.975,0.975,0.8287500000000001,282,1.04921875,"St Albans, Melbourne, City of Brimbank, 3021, Victoria, Australia",-37.74840963016055,144.80788033600916,36.07392197125257
4286,Sherrie,Godleman,Female,37,Associate Professor,Manufacturing,Mass Customer,N,No,19,2,1.02,1.02,1.02,0.867,282,1.04921875,"Lake Wendouree, Ballarat, City of Ballarat, 3350, Victoria, Australia",-37.551475919091175,143.83133114550017,42.61190965092403
4287,Dexter,Shutle,Male,81,Quality Control Specialist,unknown,Mass Customer,N,No,17,7,0.91,0.91,1.1375,0.966875,284,1.046875,"New Farm, Greater Brisbane, 4005, Queensland, Australia",-27.464010128375453,153.04549759588446,23.37303216974675
4288,Konstanze,Hovie,Female,88,Pharmacist,Health,Mass Customer,N,No,11,7,1.07,1.07,1.3375,1.136875,285,1.04125,"Warwick, Southern Downs Regional, 4370, Queensland, Australia",-28.224354269585252,152.024444040553,31.38398357289528
4289,Bink,Bentje,Male,3,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,3,0.82,1.025,1.025,1.025,285,1.04125,"Leeton Shire Council, 2680, New South Wales, Australia",-34.40392353174603,146.23463912619047,21.585215605749486
4290,Taber,Szymon,Male,70,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,8,1.03,1.03,1.03,1.03,287,1.04,"Burrum Heads, Fraser Coast Regional, 4659, Queensland, Australia",-25.184437,152.613058,11.665982203969884
4291,Debbi,Dannatt,Female,2,Technical Writer,unknown,Affluent Customer,N,No,6,10,0.49,0.49,0.6125,0.6125,287,1.04,"Mermaid Waters, Gold Coast City, 4218, Queensland, Australia",-28.040198928653847,153.4271514603846,23.351129363449694
4292,Giana,Staresmeare,Female,96,Account Representative IV,Retail,Affluent Customer,N,Yes,9,7,0.92,1.15,1.4375,1.4375,289,1.0375,"Whalan, Sydney, Blacktown City Council, 2770, New South Wales, Australia",-33.75798494819277,150.8146173433735,40.662559890485966
4293,Morton,Petkens,Male,50,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,1,1.04,1.3,1.3,1.3,289,1.0375,"West Footscray, Melbourne, City of Maribyrnong, 3012, Victoria, Australia",-37.7979108743857,144.87045824385703,55.227926078028744
4294,Vittoria,Whitney,Female,95,Research Assistant I,unknown,High Net Worth,N,No,12,11,1.07,1.07,1.3375,1.3375,291,1.0359375,"Botany, Sydney, Bayside Council, 2019, New South Wales, Australia",-33.94965995,151.20431378333333,45.782340862423
4295,Paquito,Atwood,Male,15,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,8,0.86,0.86,0.86,0.86,291,1.0359375,"Frankston, Melbourne, City of Frankston, 3199, Victoria, Australia",-38.1543768975976,145.13190886516517,36.93908281998631
4296,Dimitri,Tribbeck,Male,89,Chief Design Engineer,unknown,Affluent Customer,N,No,20,6,0.73,0.73,0.9125,0.9125,291,1.0359375,"Bentleigh East, Melbourne, City of Glen Eira, 3165, Victoria, Australia",-37.92411562252964,145.07663076197628,23.293634496919918
4297,Shelli,Bartholomaus,Female,88,Associate Professor,Health,Mass Customer,N,Yes,6,7,0.44,0.55,0.6875,0.584375,291,1.0359375,"Mill Park, Melbourne, City of Whittlesea, 3082, Victoria, Australia",-37.669090655497385,145.06514232670156,27.718001368925393
4298,Kermit,Lebond,Male,36,Financial Advisor,Financial Services,Mass Customer,N,No,4,8,0.41,0.41,0.41,0.3485,295,1.03125,"Ormeau, Gold Coast City, 4208, Queensland, Australia",-27.777456489626555,153.2552827533195,44.446269678302535
4299,Biddie,Gorce,Female,68,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,7,0.67,0.8375,0.8375,0.711875,295,1.03125,"Kelso, Bathurst Regional Council, 2795, New South Wales, Australia",-33.41202248886653,149.60977090744467,52.440793976728266
4300,Rupert,Marrow,Male,73,unknown,Property,High Net Worth,N,No,19,8,0.82,0.82,0.82,0.82,297,1.030625,"North St Marys, Sydney, Penrith City Council, 2760, New South Wales, Australia",-33.75909948288288,150.78016674414414,34.96235455167693
4301,Geoff,Sitford,Male,97,Account Executive,Financial Services,Mass Customer,N,Yes,4,8,1.0,1.25,1.5625,1.328125,297,1.030625,"Blacktown, Sydney, Blacktown City Council, 2148, New South Wales, Australia",-33.77459230737705,150.9030975,29.519507186858316
4302,Ange,Chitham,Female,91,unknown,Argiculture,Mass Customer,N,No,10,8,0.72,0.72,0.8999999999999999,0.7649999999999999,297,1.030625,"Bradbury, Sydney, Campbelltown City Council, 2560, New South Wales, Australia",-34.0904010264,150.80978945680002,55.48254620123203
4303,Tiphanie,Blackader,Female,59,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,11,0.8,0.8,1.0,0.85,297,1.030625,"Ultimo, Sydney, Council of the City of Sydney, 2007, New South Wales, Australia",-33.88002094444444,151.19753476419754,12.128678986995208
4304,Zollie,Crinidge,Male,39,Systems Administrator I,Retail,Mass Customer,N,Yes,10,5,0.62,0.775,0.775,0.65875,297,1.030625,"Clontarf, Greater Brisbane, City of Moreton Bay, 4019, Queensland, Australia",-27.257793184496123,153.08234430697675,52.38603696098563
4305,Daisy,Pollen,Female,97,Cost Accountant,Financial Services,Mass Customer,N,No,7,9,0.66,0.66,0.8250000000000001,0.70125,302,1.03,"Oakleigh South, Melbourne, City of Monash, 3167, Victoria, Australia",-37.920701188975606,145.08715511131706,57.96577686516085
4306,Emelen,Bidnall,Male,79,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,12,0.62,0.775,0.96875,0.96875,302,1.03,"Bondi Beach, Sydney, Waverley Council, 2026, New South Wales, Australia",-33.890763394270834,151.2676076510417,45.95482546201232
4307,Linette,Boman,Female,56,Account Executive,unknown,Affluent Customer,N,No,11,11,0.6,0.6,0.75,0.75,304,1.025,"Wahroonga, Sydney, Ku-ring-gai Council, 2076, New South Wales, Australia",-33.7143721,151.1136189826087,13.744010951403148
4308,Manya,Abramovici,Female,42,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8,1.05,1.3125,1.3125,1.3125,304,1.025,"Molendinar, Gold Coast City, 4214, Queensland, Australia",-27.967312742991453,153.36740983452992,19.901437371663246
4309,Brynna,Tivers,Female,81,Recruiting Manager,Financial Services,Mass Customer,N,No,6,7,0.65,0.65,0.8125,0.6906249999999999,304,1.025,"Tamborine Mountain, Scenic Rim Regional, 4272, Queensland, Australia",-27.937447193333334,153.19195596666668,38.965092402464066
4310,Art,Carolan,Male,1,Marketing Manager,unknown,Affluent Customer,N,Yes,11,9,0.47,0.5874999999999999,0.7343749999999999,0.7343749999999999,304,1.025,"Cobbitty, Camden Council, 2570, New South Wales, Australia",-34.01362313045977,150.7177027270115,19.21697467488022
4311,Alfi,Sabbins,Female,63,unknown,Financial Services,High Net Worth,N,Yes,18,3,0.53,0.6625000000000001,0.6625000000000001,0.6625000000000001,304,1.025,"Duri, Tamworth Regional Council, 2344, New South Wales, Australia",-31.196607875,150.789127875,23.805612594113622
4312,Loleta,Aberdalgy,Female,45,Occupational Therapist,Health,Mass Customer,N,No,11,6,1.07,1.07,1.07,0.9095,304,1.025,"Wallsend, Newcastle-Maitland, Newcastle City Council, 2287, New South Wales, Australia",-32.89283236666667,151.65966450666667,45.48665297741273
4313,Aldric,Birney,Male,21,unknown,Manufacturing,Mass Customer,N,Yes,14,6,0.56,0.7000000000000001,0.7000000000000001,0.5950000000000001,310,1.02265625,"Corunna, Eurobodalla Shire Council, 2546, New South Wales, Australia",-36.26445589107143,150.0917173,35.9917864476386
4314,Natividad,Balducci,Female,39,unknown,Property,High Net Worth,N,Yes,10,11,0.57,0.7124999999999999,0.8906249999999999,0.8906249999999999,310,1.02265625,"Middle Park, Melbourne, City of Port Phillip, 3206, Victoria, Australia",-37.847612875,144.96085455,55.46338124572211
4315,Claudine,Dymick,Female,28,Design Engineer,Health,Mass Customer,N,No,5,5,0.49,0.49,0.49,0.4165,312,1.02,"Cranbourne West, Melbourne, City of Casey, 3977, Victoria, Australia",-38.09794173882979,145.26580881329787,30.310746064339494
4316,Seamus,Cains,Male,61,Teacher,Manufacturing,High Net Worth,N,No,7,8,1.0,1.0,1.0,1.0,312,1.02,"New Lambton, Newcastle-Maitland, Newcastle City Council, 2305, New South Wales, Australia",-32.92905910769231,151.70947781538462,54.31622176591376
4317,Guss,Karim,Male,95,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,11,0.86,0.86,1.075,0.91375,312,1.02,"Gymea, Sutherland Shire, Sydney, Sutherland Shire Council, 2227, New South Wales, Australia",-34.039618238461536,151.0863899923077,33.25941136208077
4318,Julietta,Setchfield,Female,73,Operator,unknown,High Net Worth,N,Yes,3,8,0.87,1.0875,1.0875,1.0875,312,1.02,"Morningside, Greater Brisbane, 4170, Queensland, Australia",-27.471774994495128,153.07475502107607,56.4435318275154
4319,Roch,Symson,Female,96,Office Assistant I,Manufacturing,High Net Worth,N,No,18,9,1.04,1.04,1.3,1.3,312,1.02,"Reservoir, Melbourne, City of Darebin, 3073, Victoria, Australia",-37.71534802820513,145.01219166813186,42.724161533196444
4320,Audry,Fann,Female,3,Pharmacist,Health,Mass Customer,N,Yes,15,6,0.66,0.8250000000000001,0.8250000000000001,0.70125,312,1.02,"Tarneit, Melbourne, City of Wyndham, 3029, Victoria, Australia",-37.84657426790124,144.70038635370372,22.154688569472963
4321,Cecelia,Cisar,Female,20,unknown,Property,Mass Customer,N,Yes,15,7,0.57,0.7124999999999999,0.7124999999999999,0.6056249999999999,312,1.02,"Helensvale, Gold Coast City, 4212, Queensland, Australia",-27.9203321955414,153.33288199745223,49.59342915811088
4322,Clari,Voas,Female,74,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,8,0.9,1.125,1.125,1.125,312,1.02,"Sydney Olympic Park, Sydney, City of Parramatta Council, 2127, New South Wales, Australia",-33.83500813975903,151.07104011084337,19.9315537303217
4323,Zach,Hedman,Male,87,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,9,0.97,1.2125,1.515625,1.515625,320,1.015625,"Bow Bowing, Sydney, Campbelltown City Council, 2566, New South Wales, Australia",-34.02139715,150.83711905666667,46.05612594113621
4324,Paxon,Roomes,Male,78,Information Systems Manager,unknown,High Net Worth,N,Yes,7,7,1.08,1.35,1.35,1.35,320,1.015625,"St Albans, Melbourne, City of Brimbank, 3021, Victoria, Australia",-37.74840963016055,144.80788033600916,41.210130047912386
4325,Parnell,Lamprey,Male,23,Engineer III,Financial Services,High Net Worth,N,No,12,6,0.95,0.95,0.95,0.95,322,1.0125,"Fairfield Heights, Sydney, Fairfield City Council, 2165, New South Wales, Australia",-33.867880910714284,150.94594153035715,41.6290212183436
4326,Honey,Gosdin,Female,0,Software Engineer I,Property,Mass Customer,N,No,17,9,0.99,0.99,1.2375,1.051875,322,1.0125,"Yass, Yass Valley Council, 2582, New South Wales, Australia",-34.855738339053254,148.90687267573963,46.27241615331965
4327,Sonny,McCart,Male,35,Account Representative I,Manufacturing,High Net Worth,N,No,9,9,0.4,0.4,0.5,0.5,324,1.01,"Sunshine North, Melbourne, City of Brimbank, 3020, Victoria, Australia",-37.77344925478153,144.83174973136852,57.01574264202601
4328,Rozamond,Turtle,U,69,Legal Assistant,IT,Mass Customer,N,Yes,3,3,1.08,1.35,1.35,1.1475,324,1.01,"Wurruk, Shire of Wellington, 3850, Victoria, Australia",-38.112206447058824,147.03546838235295,36.5886379192334
4329,Deirdre,Burgoine,Female,14,Programmer III,Health,High Net Worth,N,No,7,1,0.81,0.81,0.81,0.81,326,1.009375,"Melbourne, City of Melbourne, 3000, Victoria, Australia",-37.81062167466778,144.96132478214287,19.381245722108144
4330,Haleigh,,Female,17,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,4,0.83,1.0375,1.0375,0.8818749999999999,326,1.009375,"Kallangur, Greater Brisbane, City of Moreton Bay, 4503, Queensland, Australia",-27.251773314004375,153.0004684323851,16.7419575633128
4331,Aldridge,Poskitt,Male,84,VP Sales,unknown,Mass Customer,N,No,12,5,0.48,0.48,0.6,0.51,326,1.009375,"Alexandra Hills, Greater Brisbane, Redland City, 4161, Queensland, Australia",-27.528897162280703,153.22892679210526,46.47227926078029
4332,Zechariah,McReidy,Male,32,Technical Writer,Manufacturing,High Net Worth,N,No,21,6,0.55,0.55,0.55,0.55,329,1.0,"Mount Warren Park, Greater Brisbane, 4207, Queensland, Australia",-27.72339298857143,153.19512631652015,42.91581108829569
4333,Carry,Costi,Female,32,Senior Developer,Property,Mass Customer,N,No,11,4,0.5,0.5,0.5,0.425,329,1.0,"Orange, Orange City Council, 2800, New South Wales, Australia",-33.281913390831555,149.09423819488273,37.26488706365503
4334,Alon,,Male,17,Accountant IV,unknown,Affluent Customer,N,No,9,3,0.67,0.67,0.67,0.67,329,1.0,"Mermaid Waters, Gold Coast City, 4218, Queensland, Australia",-28.040198928653847,153.4271514603846,63.83572895277207
4335,Ahmed,Pickthorne,Male,46,Marketing Manager,unknown,High Net Worth,N,Yes,15,9,1.01,1.2625,1.578125,1.578125,329,1.0,"Lalor Park, Sydney, Blacktown City Council, 2147, New South Wales, Australia",-33.764241076595745,150.93524201063832,24.34223134839151
4336,Nil,Shirer,Male,64,Librarian,Entertainment,Mass Customer,N,Yes,7,8,0.41,0.5125,0.5125,0.4356249999999999,329,1.0,"Yarraville, Melbourne, City of Maribyrnong, 3013, Victoria, Australia",-37.81578395416667,144.87742741521467,62.09993155373032
4337,Erhard,O'Moylane,Male,33,Media Manager I,Retail,Affluent Customer,N,Yes,9,2,0.56,0.7000000000000001,0.7000000000000001,0.7000000000000001,334,0.9987499999999998,"Shepparton, City of Greater Shepparton, 3630, Victoria, Australia",-36.39465728652482,145.40824810496454,42.76249144421629
4338,Vitia,Axtens,Female,62,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,10,0.61,0.7625,0.953125,0.81015625,334,0.9987499999999998,"Potts Point, Sydney, Council of the City of Sydney, 2011, New South Wales, Australia",-33.87250017339449,151.22473030458715,9.963039014373717
4339,Haskell,Moxted,Male,81,Civil Engineer,Manufacturing,Mass Customer,N,No,7,9,0.61,0.61,0.7625,0.648125,334,0.9987499999999998,"Wentworthville, Sydney, Cumberland City Council, 2145, New South Wales, Australia",-33.81138947830189,150.96508012264152,8.013689253935661
4340,Ebony,Conrad,Female,8,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,7,0.42,0.525,0.525,0.44625,334,0.9987499999999998,"Tarneit, Melbourne, City of Wyndham, 3029, Victoria, Australia",-37.84657426790124,144.70038635370372,64.17248459958932
4341,Lincoln,Boler,Male,53,Chief Design Engineer,unknown,Affluent Customer,N,No,14,8,0.79,0.79,0.79,0.79,338,0.99609375,"Port Melbourne, Melbourne, City of Port Phillip, 3207, Victoria, Australia",-37.83158716032787,144.9259798685246,40.42436687200548
4342,Vladimir,Westmerland,Male,18,unknown,Manufacturing,Mass Customer,N,Yes,18,4,1.02,1.275,1.275,1.08375,338,0.99609375,"Albury, Albury City Council, 2640, New South Wales, Australia",-36.08442952193627,146.9198178882353,20.826830937713893
4343,Kylynn,Drowsfield,Female,80,Editor,unknown,High Net Worth,N,Yes,7,9,0.63,0.7875,0.984375,0.984375,338,0.99609375,"Greenvale, Melbourne, City of Hume, 3059, Victoria, Australia",-37.643750016666665,144.88391158333332,39.59753593429158
4344,Nicole,Ruckhard,Female,93,Human Resources Manager,Health,Affluent Customer,N,Yes,17,3,1.02,1.275,1.59375,1.59375,341,0.99,"Nambour, Sunshine Coast Regional, 4560, Queensland, Australia",-26.625810580567496,152.9529728632846,34.13278576317591
4345,Celestina,Lethardy,Female,38,Software Consultant,IT,Mass Customer,N,Yes,11,10,0.92,1.15,1.4375,1.221875,341,0.99,"Murrumbeena, Melbourne, City of Glen Eira, 3163, Victoria, Australia",-37.889989175784756,145.0660464443946,33.30595482546201
4346,Tannie,Petrakov,Male,84,Data Coordiator,IT,Affluent Customer,N,No,10,6,0.46,0.46,0.5750000000000001,0.5750000000000001,341,0.99,"Forest Lake, Greater Brisbane, 4078, Queensland, Australia",-27.619807466006215,152.96109038379564,16.265571526351813
4347,Bessy,Saladin,Female,22,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,10,0.51,0.6375,0.796875,0.67734375,341,0.99,"Corinda, Greater Brisbane, 4075, Queensland, Australia",-27.542858852262466,152.97893456755477,4.334017796030117
4348,Diego,Van den Broek,Male,17,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,13,7,1.0,1.25,1.25,1.25,345,0.988125,"Ferny Grove, Brisbane City, 4055, Queensland, Australia",-27.407158939145297,152.9248373578205,29.10335386721424
4349,Lucilia,Minshall,Female,71,unknown,IT,Mass Customer,N,Yes,7,8,0.86,1.075,1.075,0.91375,345,0.988125,"Penrith, Sydney, Penrith City Council, 2750, New South Wales, Australia",-33.754322410849056,150.67893582712264,16.648870636550306
4350,Cissiee,Pollington,Female,43,Associate Professor,Property,Mass Customer,N,Yes,7,9,1.1,1.375,1.71875,1.4609375,345,0.988125,"Umina Beach, Gosford, Central Coast Council, 2256, New South Wales, Australia",-33.524669882467535,151.3101954435065,5.9137577002053385
4351,Eddy,Sturch,Male,22,Software Consultant,Financial Services,High Net Worth,N,Yes,17,6,0.71,0.8875,0.8875,0.8875,345,0.988125,"Thorneside, Greater Brisbane, Redland City, 4158, Queensland, Australia",-27.48619615263158,153.20181136368421,25.475701574264203
4352,Caron,Kezar,Female,11,Social Worker,Health,Mass Customer,N,No,5,1,0.49,0.49,0.49,0.4165,349,0.9875,"Cobar Shire Council, 2835, New South Wales, Australia",-31.57355971896552,145.52120698103448,17.963039014373717
4353,Sandor,Stirland,Male,67,Web Developer IV,Manufacturing,High Net Worth,N,No,12,10,1.07,1.07,1.3375,1.3375,349,0.9875,"Deans Marsh, Surf Coast Shire, 3235, Victoria, Australia",-38.4286198,143.89270343333334,45.76043805612594
4354,Gallagher,Bromell,Male,18,Assistant Manager,unknown,Mass Customer,N,No,17,8,0.77,0.77,0.77,0.6545,349,0.9875,"Buderim, Sunshine Coast Regional, 4556, Queensland, Australia",-26.703358515987865,153.06821565524262,21.281314168377822
4355,Murial,Bulloch,Female,59,unknown,Financial Services,Mass Customer,N,No,13,6,0.45,0.45,0.45,0.3825,349,0.9875,"Potts Point, Sydney, Council of the City of Sydney, 2011, New South Wales, Australia",-33.87250017339449,151.22473030458715,29.111567419575632
4356,Delinda,Ech,Female,74,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,10,1.1,1.375,1.71875,1.4609375,349,0.9875,"Kew, Melbourne, City of Boroondara, 3101, Victoria, Australia",-37.80146334467213,145.0350847114754,9.166324435318275
4357,Hussein,Tapenden,Male,19,Pharmacist,Health,Affluent Customer,N,Yes,12,8,0.6,0.75,0.75,0.75,349,0.9875,"Werrington, Sydney, Penrith City Council, 2747, New South Wales, Australia",-33.754969462825784,150.75204990082304,18.16016427104723
4358,Giulietta,Garbott,Female,59,Technical Writer,unknown,Affluent Customer,N,Yes,14,5,0.8,1.0,1.0,1.0,355,0.984375,"Pakenham, Melbourne, Shire of Cardinia, 3810, Victoria, Australia",-38.063884217213115,145.46991815245903,66.51882272416154
4359,Kaylyn,Jakaway,Female,45,Registered Nurse,Health,Affluent Customer,N,No,10,8,0.43,0.43,0.43,0.43,356,0.9828125,"Charlestown, Newcastle-Maitland, Lake Macquarie City Council, 2290, New South Wales, Australia",-32.971346611904764,151.69695448333331,44.93908281998631
4360,Brynn,Goodyear,Female,30,Human Resources Manager,Health,Mass Customer,N,Yes,11,7,1.0,1.25,1.25,1.0625,356,0.9828125,"Lalor, Melbourne, City of Whittlesea, 3075, Victoria, Australia",-37.66976286197183,145.01462780985915,9.221081451060916
4361,Otis,,Male,59,Electrical Engineer,Manufacturing,Affluent Customer,N,No,12,11,0.68,0.68,0.8500000000000001,0.8500000000000001,358,0.98,"St Ives, Sydney, Ku-ring-gai Council, 2075, New South Wales, Australia",-33.72460685223881,151.16111380547264,35.389459274469544
4362,Tamas,Swatman,U,65,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,8,1.01,1.01,1.01,1.01,358,0.98,"Little Mountain, Sunshine Coast Regional, 4551, Queensland, Australia",-26.779705366836737,153.10097442210883,36.5886379192334
4363,Pace,Clemonts,Male,99,Media Manager IV,Retail,High Net Worth,N,No,10,7,0.79,0.79,0.9875,0.9875,358,0.98,"Hawthorn, Melbourne, City of Boroondara, 3122, Victoria, Australia",-37.82555367970112,145.03332694557906,54.93223819301848
4364,Tracy,Andrejevic,U,71,Programmer II,IT,Mass Customer,N,Yes,11,7,0.95,1.1875,1.1875,1.009375,361,0.9775,"Werribee, Melbourne, City of Wyndham, 3030, Victoria, Australia",-37.893824220172085,144.69761997566923,36.5886379192334
